url,location,floor,floors_count,rooms_count,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground
https://www.cian.ru/sale/flat/306969328/,Москва,4,17,1,7733080,2026,"Панельный, монолитный",Чистовая,"10,6 м²","18,2 м²",Южное Бутово,,,Щербинка
https://www.cian.ru/sale/flat/308657155/,Москва,1,9,1,7728000,2025,Монолитно-кирпичный,"Без отделки, чистовая","16,4 м²","19,5 м²",,,к4,Силикатная
https://www.cian.ru/sale/flat/308914398/,Москва,1,16,1,7664358,2025,Монолитно-кирпичный,"Без отделки, чистовая","16,3 м²","10,8 м²",Молжаниновский,,к5,Новоподрезково
https://www.cian.ru/sale/flat/308650573/,Москва,1,14,1,7757680,2026,Монолитно-кирпичный,"Без отделки, чистовая","10,9 м²","17,8 м²",,,10,Рассказовка
https://www.cian.ru/sale/flat/308657248/,Москва,1,12,1,7758553,2025,Монолитно-кирпичный,"Без отделки, чистовая","11,4 м²","16,6 м²",,,к3,Силикатная
https://www.cian.ru/sale/flat/308966446/,Москва,6,9,1,7831355,2026,"Монолитно-кирпичный, монолитный","Без отделки, чистовая","11,3 м²","10,2 м²",,,к31,Рассказовка
https://www.cian.ru/sale/flat/306744977/,Москва,8,10,1,7965753,2026,Монолитно-кирпичный,"Без отделки, чистовая","12,5 м²","12,4 м²",,,3.1,Толстопальцево
https://www.cian.ru/sale/flat/306745204/,Москва,3,9,1,7903030,2026,Монолитно-кирпичный,"Без отделки, чистовая","12,9 м²","9,9 м²",,,1.2,Толстопальцево
https://www.cian.ru/sale/flat/308657241/,Москва,9,9,1,7956216,2025,Монолитно-кирпичный,"Без отделки, чистовая","12,3 м²","22,4 м²",,,к3,Силикатная
https://www.cian.ru/sale/flat/306784515/,Москва,6,22,1,7942600,2025,Монолитный,Без отделки,"6,6 м²","10,4 м²",,,,Прокшино
https://www.cian.ru/sale/flat/308914987/,Москва,11,16,1,8110408,2024,Монолитно-кирпичный,"Без отделки, чистовая","13,9 м²","13,1 м²",,,к2,Филатов Луг
